category,id,short,long,user,logo,link,publink,description,resource_type,scientific_purpose,taxonomic_coverage,realm_and_geographic_coverage,spatial_representation_and_resolution,temporal_extent_and_resolution,data_types_and_scales,data_origin_and_lineage,access,license,version_updates,strengths,limitations,recommended_use,prominence,publication,audit
"Taxonomies, nomenclatural resources, and species checklists",,AviList,AviList: The Global Avian Checklist,core,,https://www.avilist.org/,,Consensus global bird taxonomy created by harmonising previously competing world checklists and documenting nomenclatural decisions.,primary or curated specialist database,Amphibian name reconciliation and checklist construction.,Amphibians.,"mixed or non-spatial, depending on source; spatial extent: global; geography: Global.",Global.; Species and higher taxa with broad distribution statements.,Current taxonomy and nomenclatural history.; Online edition.,"Accepted names, synonyms, distributions and references.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.","Compiled from the origins described in the resource documentation and lineage note. Used by AmphibiaWeb, IUCN, phylogenies and trait datasets.",Web portal.; formats: HTML.; interface: See the official resource documentation for current programmatic interfaces.,Free use with required citation.; registration: Not reported in the baseline catalogue.,Actively maintained.,Authoritative nomenclature and extensive literature.,Limited bulk tooling and no fine-scale occurrences. Not reported.,Amphibian name reconciliation and checklist construction.,"Core taxon-specific taxonomy.; evidence: high for official fields, otherwise as stated in the verification note",Frost. Amphibian Species of the World.,retained and standardised; verified 2026-07-14.
"Taxonomies, nomenclatural resources, and species checklists",,COL,Catalogue of Life,core,col.jpg,https://www.catalogueoflife.org/,,Global taxonomic checklist integrating expert-maintained Global Species Databases into versioned releases.,curated global taxonomic checklist,"Bird-name reconciliation, comparative analyses, range and trait integration. Current bird taxonomy and harmonisation across range, trait and phylogeny products.",All recognised extant bird species and subspecies in the current release.,"aerial, terrestrial, freshwater and marine; spatial extent: global; geography: Worldwide",Taxon and nomenclatural records; Species and subspecies level,"Current taxonomic knowledge; first public release in 2025; Versioned checklist, intended for regular updates","Accepted names, synonyms, English names, hierarchy and nomenclatural metadata; **records/taxa:** Version 2025 recognised 11,131 species and 19,879 subspecies; current portal should be checked for the newest release.","Expert synthesis of IOC, eBird/Clements, BirdLife and other avian authorities. Designed to replace inconsistent parallel global bird taxonomies; downstream matching is needed for eBird, BirdLife, AVONET and older phylogenies.",Direct spreadsheet/download portal; formats: Spreadsheet and tabular formats; interface: Public web portal; community R clients exist,Free public download; cite the exact version.; registration: No account normally required.,"Active, versioned; version 2025 was the inaugural release and the portal flags superseded versions.","Single consensus taxonomy, explicit nomenclatural components and global scope.","Taxonomic changes can invalidate joins to older datasets; use the exact release and retain crosswalks. Do not silently remap historical datasets without documenting splits, lumps and unmatched taxa.","Current bird taxonomy and harmonisation across range, trait and phylogeny products.",core; evidence: high,AviList Core Team. AviList: a unified global bird checklist.,added after deep-search audit; verified 2026-07-14.
"Taxonomies, nomenclatural resources, and species checklists",,FishBase,FishBase,core,fishbase.png,https://www.fishbase.se/,,"Global species database integrating taxonomy, distribution, ecology, life history, morphology and fisheries information for finfishes.",primary or curated specialist database,"Name reconciliation, accepted-name lookup and checklist construction.",All kingdoms.,"mixed or non-spatial, depending on source; spatial extent: global; geography: Global.",Global non-spatial taxonomy.; Taxon and nomenclatural record.,Extant and selected extinct taxa.; Monthly or annual release.,"Accepted names, synonyms, classification, identifiers and source databases.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.",Compiled from the origins described in the resource documentation and lineage note. Aggregates specialist taxonomic databases and supports GBIF and other platforms.,"Web portal, API, ChecklistBank and archives.; formats: ColDP; Darwin Core Archive; tables.; interface: See the official resource documentation for current programmatic interfaces.",CC BY or source-specific terms; attribution required.; registration: Not reported in the baseline catalogue.,Actively maintained and versioned.,"Broad scope, source lineage and versioning.",Completeness and taxonomic opinion vary among clades. Not reported.,"Name reconciliation, accepted-name lookup and checklist construction.","Foundational global taxonomy.; evidence: high for official fields, otherwise as stated in the verification note",Hobern et al. Catalogue of Life.,retained and standardised; verified 2026-07-14.
"Taxonomies, nomenclatural resources, and species checklists",,GBIF Backbone,GBIF Backbone Taxonomy,core,,https://www.gbif.org/dataset/d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,,Operational taxonomic backbone used to index and interpret GBIF-mediated names.,primary or curated specialist database,"Fish traits, trophic ecology, range analysis and fisheries.",Finfishes.,"marine, freshwater; spatial extent: global; geography: Global.","Global marine and freshwater.; Species attributes, country lists and population records.",Current knowledge with historical literature.; Species or population table.,"Taxonomy, traits, distributions, diets, growth, habitats and images.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.",Compiled from the origins described in the resource documentation and lineage note. Feeds AquaMaps and integrates many primary sources.,"Web portal, table downloads and R interfaces.; formats: Relational extracts; CSV; web services.; interface: See the official resource documentation for current programmatic interfaces.",Many products CC BY-NC; media rights vary.; registration: Not reported in the baseline catalogue.,Actively maintained.,"Unusually broad traits, ecology and distributions for a whole vertebrate class.","Species-level compilation, modelled values and non-commercial licensing. Not reported.","Fish traits, trophic ecology, range analysis and fisheries.","Foundational taxon-specific database.; evidence: high for official fields, otherwise as stated in the verification note",Froese & Pauly. FishBase.,retained and standardised; verified 2026-07-14.
"Taxonomies, nomenclatural resources, and species checklists",,Index Fungorum,Index Fungorum,core,,https://www.indexfungorum.org/,,"Global index of scientific names of fungi, including names of fossil forms, with nomenclatural and bibliographic information.",primary or curated specialist database,Occurrence matching and harmonisation across heterogeneous publishers.,All taxa encountered in GBIF.,"mixed or non-spatial, depending on source; spatial extent: global; geography: Global.",Global non-spatial taxonomy.; Taxon concept and name usage.,Current release.; Versioned build.,"Accepted names, synonyms, classification and identifiers.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.","Compiled from the origins described in the resource documentation and lineage note. Derived from COL, specialist checklists and GBIF processing.",GBIF species API and backbone download.; formats: Darwin Core Archive; CSV; JSON.; interface: See the official resource documentation for current programmatic interfaces.,CC BY; source attributions apply.; registration: Not reported in the baseline catalogue.,Actively rebuilt.,Direct compatibility with GBIF occurrence APIs.,Operational rather than universally authoritative; versions can change matches. Not reported.,Occurrence matching and harmonisation across heterogeneous publishers.,"Foundational for GBIF workflows.; evidence: high for official fields, otherwise as stated in the verification note",GBIF Backbone Taxonomy dataset.,retained and standardised; verified 2026-07-14.
"Taxonomies, nomenclatural resources, and species checklists",,MDD,Mammal Diversity Database,core,,https://www.mammaldiversity.org/,,Versioned taxonomy and distribution checklist for living and recently extinct mammals.,global nomenclatural index,"Fungal synonymy, historical name tracing and nomenclatural checking. Resolving fungal names and tracing publication history.",Fungi and fungus-like organisms represented in nomenclatural literature.,mixed or non-spatial; spatial extent: global; geography: Worldwide,Taxon-name records; Name level,Historical nomenclature to present; Continuously expanding name index,"Names, author citations, publication details and identifiers; **records/taxa:** The official portal reported more than 620,000 nomenclatural records in 2026.",Taxonomic literature and nomenclatural acts. Closely related to Species Fungorum; overlaps MycoBank in fungal names but has a different history and role.,Web search and downloadable services where provided; formats: Web records and tabular services; interface: Web interface,Public lookup; respect database citation and provider terms.; registration: No account required for lookup.,Active.,"Very broad nomenclatural coverage, including fossil fungi.","A nomenclatural index, not a consensus accepted-species checklist or occurrence source. Do not use record counts as species counts.",Resolving fungal names and tracing publication history.,established; evidence: high,Index Fungorum.,added after deep-search audit; verified 2026-07-14.
"Taxonomies, nomenclatural resources, and species checklists",,MycoBank,MycoBank,core,,https://www.mycobank.org/,,"Authoritative registration and nomenclatural database for fungi, including names, descriptions and linked literature.",primary or curated specialist database,"Mammal taxonomy, macroecology and conservation harmonisation.",Mammals.,"mixed or non-spatial, depending on source; spatial extent: global; geography: Global.",Global; taxon-level regions and countries.; Species and higher-taxon record.,Extant and recently extinct mammals.; Versioned release.,"Names, synonyms, authority, type locality and distribution summaries.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.",Compiled from the origins described in the resource documentation and lineage note. Successor to MSW3 for current workflows and linked to VertLife and conservation products.,Web search and Zenodo downloads.; formats: CSV; spreadsheet.; interface: See the official resource documentation for current programmatic interfaces.,Open with citation; release terms apply.; registration: Not reported in the baseline catalogue.,Actively maintained; versioned.,Transparent versioning and near-complete mammal scope.,No fine occurrences and taxonomic changes complicate cross-version analyses. Not reported.,"Mammal taxonomy, macroecology and conservation harmonisation.","Core taxon-specific taxonomy.; evidence: high for official fields, otherwise as stated in the verification note",Burgin et al. and Mammal Diversity Database releases.,retained and standardised; verified 2026-07-14.
"Taxonomies, nomenclatural resources, and species checklists",,NCBI Taxonomy,NCBI Taxonomy,core,,https://www.ncbi.nlm.nih.gov/taxonomy,,"Curated classification linking organisms to NCBI sequences, assemblies and samples.",curated nomenclatural database,"Fungal name validation, registration and nomenclatural reconciliation. Fungal nomenclature, name validation and links between publications and registered names.","Fungi, including fossil and extant names where registered.",mixed or non-spatial; spatial extent: global; geography: Worldwide,Taxon and nomenclatural records; Name or typification record,Historical nomenclature to current registrations; Continuously updated registration records,"Names, types, descriptions, identifiers and literature; **records/taxa:** Dynamic database; record and taxon counts should be retrieved from the current portal rather than frozen.","Taxonomic publications and formal name registrations. Complementary to Index Fungorum, Species Fungorum, UNITE and fungal sequence databases.",Web search and registration portal; formats: Web records and exports where supported; interface: Web interface; programmatic access is limited or project-specific,"Public lookup; reuse terms should be checked.; registration: Registration required for submitting names, not for routine lookup.",Active and continuously updated.,Formal registration role and persistent fungal name identifiers.,Not an occurrence or trait database; accepted-name opinions can differ among fungal authorities. Do not treat a registered name as evidence of accepted taxonomic status or geographic occurrence.,"Fungal nomenclature, name validation and links between publications and registered names.",established; evidence: high,MycoBank database and associated nomenclatural publications.,added after deep-search audit; verified 2026-07-14.
"Taxonomies, nomenclatural resources, and species checklists",,POWO,Plants of the World Online,core,,https://powo.science.kew.org/,,"Kew-curated portal integrating accepted plant names, synonymy, distributions, descriptions and uses.",primary or curated specialist database,"Genomic retrieval, annotation and bioinformatics name reconciliation.",Organisms represented in NCBI molecular databases.,"mixed or non-spatial, depending on source; spatial extent: global; geography: Global.",Global non-spatial taxonomy.; Taxon identifier.,Current nomenclature with legacy names.; Continuously updated.,"Names, identifiers, ranks, synonyms and lineages.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.","Compiled from the origins described in the resource documentation and lineage note. Backbone for GenBank, SRA, RefSeq and BioSample.","Browser, Entrez API and taxonomy dumps.; formats: Flat files; XML; JSON; API.; interface: See the official resource documentation for current programmatic interfaces.",Public-domain US government data.; registration: Not reported in the baseline catalogue.,Actively maintained.,Stable identifiers and direct molecular integration.,Sequence-driven coverage and classifications can differ from biodiversity checklists. Not reported.,"Genomic retrieval, annotation and bioinformatics name reconciliation.","Foundational molecular taxonomy.; evidence: high for official fields, otherwise as stated in the verification note",Schoch et al. NCBI Taxonomy update.,retained and standardised; verified 2026-07-14.
"Taxonomies, nomenclatural resources, and species checklists",,Species Fungorum,Species Fungorum,core,,https://www.speciesfungorum.org/,,"Global working list of accepted fungal species names and synonymy, linked to Index Fungorum.",primary or curated specialist database,"Plant taxonomy, native-range lookup and floristics.",Vascular plants and selected other plant groups.,"mixed or non-spatial, depending on source; spatial extent: global; geography: Global.",Global.; Taxon-level distributions by botanical regions.,Current taxonomy and accumulated literature.; Taxon record.,"Taxonomy, distributions, descriptions, uses and references.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.","Compiled from the origins described in the resource documentation and lineage note. Builds on IPNI, Kew checklists and collections.",Web portal and linked Kew datasets.; formats: Web records and selected tables.; interface: See the official resource documentation for current programmatic interfaces.,Use subject to Kew terms.; registration: Not reported in the baseline catalogue.,Actively maintained.,Authoritative distributions and taxonomic notes.,Bulk programmatic access less open than COL; regional distributions are coarse. Not reported.,"Plant taxonomy, native-range lookup and floristics.","Very widely used plant reference.; evidence: high for official fields, otherwise as stated in the verification note",POWO and World Checklist of Vascular Plants documentation.,retained and standardised; verified 2026-07-14.
"Taxonomies, nomenclatural resources, and species checklists",,RDB,The Reptile Database,core,,https://reptile-database.reptarium.cz/,,"Comprehensive taxonomy of living reptiles with synonymy, literature and broad distributions.",curated accepted-name checklist,Accepted-name selection and fungal checklist harmonisation. Fungal accepted-name matching and checklist assembly.,Fungi.,mixed or non-spatial; spatial extent: global; geography: Worldwide,Accepted taxon records and synonymy; Species and infraspecific level,Current taxonomic knowledge; Continuously curated or periodically released,"Accepted names, synonyms, classification and sources; **records/taxa:** Dynamic; current counts should be taken from the portal.",Expert taxonomic synthesis using Index Fungorum and specialist contributions. Uses Index Fungorum nomenclature and complements MycoBank and Catalogue of Life.,Web portal and query tools; formats: Web and tabular records where available; interface: Web interface,Public lookup with citation.; registration: No account required for lookup.,"Active, with coverage varying among fungal groups.",Accepted-name focus distinguishes it from a purely nomenclatural index.,Completeness and recency vary among lineages; not an occurrence database. Do not assume uniform expert revision across all fungal groups.,Fungal accepted-name matching and checklist assembly.,established; evidence: high,Species Fungorum.,added after deep-search audit; verified 2026-07-14.
"Taxonomies, nomenclatural resources, and species checklists",,WFO,World Flora Online,core,,https://www.worldfloraonline.org/,,Global consensus plant checklist and taxonomic backbone.,primary or curated specialist database,Reptile checklist reconciliation and macroecology.,Living reptiles.,"mixed or non-spatial, depending on source; spatial extent: global; geography: Global.",Global.; Species and subspecies; broad geographic summaries.,Current taxonomy.; Continuously updated.,"Taxonomy, synonyms, types, references, distributions and images.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.","Compiled from the origins described in the resource documentation and lineage note. Used by IUCN, trait datasets and phylogenetic studies.",Web portal and derived downloads.; formats: HTML and tables where available.; interface: See the official resource documentation for current programmatic interfaces.,Free research use with citation; bulk terms should be checked.; registration: Not reported in the baseline catalogue.,Actively maintained.,Near-complete reptile taxonomy and literature links.,No fossils or consistent point occurrences; bulk access less simple than COL. Not reported.,Reptile checklist reconciliation and macroecology.,"Core taxon-specific taxonomy.; evidence: high for official fields, otherwise as stated in the verification note",Uetz and collaborators. The Reptile Database.,retained and standardised; verified 2026-07-14.
"Taxonomies, nomenclatural resources, and species checklists",,WoRMS,World Register of Marine Species,core,,https://www.marinespecies.org/,,"Expert-edited global register of marine names, synonyms and classifications.",primary or curated specialist database,"Plant name matching, flora compilation and diversity assessment.",Plants.,"mixed or non-spatial, depending on source; spatial extent: global; geography: Global.",Global non-spatial taxonomy.; Taxon and nomenclatural record.,Extant taxonomy with historical names.; Continuously updated.,"Accepted names, synonyms, classification and descriptions.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.",Compiled from the origins described in the resource documentation and lineage note. Built from specialist plant databases and floras.,"Portal, matching services and downloads.; formats: Darwin Core and tables.; interface: See the official resource documentation for current programmatic interfaces.",Open with attribution; provider terms may apply.; registration: Not reported in the baseline catalogue.,Actively maintained.,Global plant focus and consensus governance.,Completeness and synonym resolution vary by lineage. Not reported.,"Plant name matching, flora compilation and diversity assessment.","Core plant taxonomy.; evidence: high for official fields, otherwise as stated in the verification note",World Flora Online Consortium documentation.,retained and standardised; verified 2026-07-14.
Phylogenies,,MorphoBank,MorphoBank,core,morphobank.png,https://www.morphobank.org/,,"Repository and collaborative platform for morphological character matrices, specimen images and phylogenetic projects.",primary or curated specialist database,Marine name standardisation and linkage across ocean databases.,Marine and some brackish taxa.,marine; spatial extent: global; geography: Global marine.,Global marine taxonomy.; Taxon record.,Current and historical nomenclature.; Continuously updated.,"Accepted names, synonyms, classification, distributions and references.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.",Compiled from the origins described in the resource documentation and lineage note. Official taxonomic backbone for OBIS and many marine products.,"Portal, taxon matching, REST API and downloads.; formats: CSV; JSON/XML API.; interface: See the official resource documentation for current programmatic interfaces.",Open with citation; thematic registers may add conditions.; registration: Not reported in the baseline catalogue.,Actively maintained.,Expert curation and stable Aphia identifiers.,Update speed and completeness differ among editorial groups. Not reported.,Marine name standardisation and linkage across ocean databases.,"Foundational marine taxonomy.; evidence: high for official fields, otherwise as stated in the verification note",Horton et al. WoRMS recommendations and documentation.,retained and standardised; verified 2026-07-14.
Phylogenies,,OpenTree,Open Tree of Life,core,,https://tree.opentreeoflife.org/,,Synthetic tree combining published phylogenies with a comprehensive taxonomic backbone and source mappings.,primary or curated specialist database,"Total-evidence phylogenetics, fossil morphology and matrix reuse.","Broad, especially animals and fossils.","mixed or non-spatial, depending on source; spatial extent: global; geography: Global.","Global non-spatial.; Specimen, character, matrix and project level.",Extant and fossil taxa.; Publication-associated project release.,"Matrices, images, specimens, trees and metadata.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.",Compiled from the origins described in the resource documentation and lineage note. Complements GenBank and TreeBASE with morphology and specimens.,Web portal and project downloads.; formats: Nexus; TNT; images; tables.; interface: See the official resource documentation for current programmatic interfaces.,Project-specific; published projects generally open.; registration: Not reported in the baseline catalogue.,Actively maintained.,Rich specimen-level morphology and fossil integration.,Study-specific coding is difficult to harmonise; projects may remain private before publication. Not reported.,"Total-evidence phylogenetics, fossil morphology and matrix reuse.","Core morphological repository.; evidence: high for official fields, otherwise as stated in the verification note",O'Leary & Kaufman. MorphoBank.,retained and standardised; verified 2026-07-14.
Phylogenies,,PhylomeDB,PhylomeDB,core,,http://phylomedb.org/,,"Repository of complete collections of gene phylogenies, alignments and orthology/paralogy predictions for sequenced genomes.",primary or curated specialist database,"Phylogenetic diversity, subtree extraction and broad comparative analyses.",All life where taxonomy or trees exist.,"mixed or non-spatial, depending on source; spatial extent: global; geography: Global.",Global non-spatial.; Species and higher-taxon nodes.,Extant and some extinct taxa in source trees.; Versioned synthetic release.,"Synthetic topology, source mappings, taxonomy and identifiers.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.",Compiled from the origins described in the resource documentation and lineage note. Synthesises published trees and Open Tree Taxonomy.,"Web browser, API, downloads and R/Python clients.; formats: Newick; JSON; taxonomy dumps.; interface: See the official resource documentation for current programmatic interfaces.",Open with source-tree attribution.; registration: Not reported in the baseline catalogue.,Actively maintained.,Broadest interoperable tree with data lineage.,Mostly undated; unresolved and taxonomy-imposed relationships are common. Not reported.,"Phylogenetic diversity, subtree extraction and broad comparative analyses.","Foundational phylogeny infrastructure.; evidence: high for official fields, otherwise as stated in the verification note",Hinchliff et al. Open Tree of Life synthesis.,retained and standardised; verified 2026-07-14.
Phylogenies,,TreeBASE,TreeBASE,core,,https://www.treebase.org/,,"Repository for published phylogenetic trees, character matrices and study metadata.",comparative-genomics phylogeny database,"Gene-family evolution, orthology inference and comparative genomics. Gene-family evolution and orthology-aware comparative genomics.",Organisms represented by included genome phylomes.,mixed or non-spatial; spatial extent: global; geography: Genome projects rather than geographic coverage,"Gene trees, alignments and genome collections; Gene-family level",Current and historical genome releases; Versioned phylomes,"Gene trees, alignments, orthology and paralogy relationships; **records/taxa:** Dynamic; phylome and tree counts change with releases.",Public genome sequences processed with standardised phylogenomic pipelines. Uses public genome assemblies and provides derived gene-level trees rather than species trees.,"Web portal and downloads; formats: Newick, FASTA, tables and web records; interface: Web services and downloadable phylomes",Open research use with citation.; registration: No account for public access.,Active.,"Genome-wide, internally consistent gene phylogenies and orthology calls.",Taxonomic coverage is limited to included genomes and gene trees should not be confused with species phylogenies. Do not use a single gene tree as a species tree without reconciliation.,Gene-family evolution and orthology-aware comparative genomics.,established; evidence: high,Fuentes et al. PhylomeDB.,added after deep-search audit; verified 2026-07-14.
Time-calibrated phylogenies,,BirdTree,BirdTree,core,,https://birdtree.org/,,Portal distributing global posterior samples of time-calibrated avian phylogenies.,primary or curated specialist database,"Reuse, benchmarking, meta-analysis and reproducible phylogenetics.",All deposited taxa.,"mixed or non-spatial, depending on source; spatial extent: global; geography: Global.","Global non-spatial.; Study, tree and matrix level.",Historical and contemporary publications.; Publication-associated deposit.,"Trees, alignments, matrices, metadata and citations.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.","Compiled from the origins described in the resource documentation and lineage note. Linked to journals, Dryad and OpenTree; contains primary study deposits.","Portal, API and R package.; formats: Newick; Nexus; NeXML; XML.; interface: See the official resource documentation for current programmatic interfaces.",Public repository; study licences and citations apply.; registration: Not reported in the baseline catalogue.,Maintained.,Study provenance and underlying matrices.,"Sparse relative to literature, inconsistent metadata and many undated trees. Not reported.","Reuse, benchmarking, meta-analysis and reproducible phylogenetics.","Core phylogenetic repository.; evidence: high for official fields, otherwise as stated in the verification note",TreeBASE and R interface publications.,retained and standardised; verified 2026-07-14.
Time-calibrated phylogenies,,FToL,Fish Tree of Life,core,,https://fishtreeoflife.org/,,Online phylogenetic framework and taxonomic resources for fishes.,primary or curated specialist database,"Bird comparative analyses, diversification and phylogenetic diversity.",Birds.,"mixed or non-spatial, depending on source; spatial extent: global; geography: Global.",Global non-spatial.; Species tips and posterior trees.,Extant birds.; Posterior sample.,Dated phylogenetic trees and taxonomic mapping.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.,"Compiled from the origins described in the resource documentation and lineage note. Part of VertLife; taxonomy differs from BirdLife, IOC and AVONET.",Web subset extraction and downloads.; formats: Newick.; interface: See the official resource documentation for current programmatic interfaces.,Free academic use with citation.; registration: Not reported in the baseline catalogue.,Maintained around a published framework.,Large posterior sample and near-complete species coverage.,Imputed placements dominate poorly sampled species; taxonomy matching is essential. Not reported.,"Bird comparative analyses, diversification and phylogenetic diversity.","Very widely used bird tree.; evidence: high for official fields, otherwise as stated in the verification note",Jetz et al. Global diversity of birds in space and time.,retained and standardised; verified 2026-07-14.
Time-calibrated phylogenies,,FCD,Fossil Calibration Database,core,,http://fossilcalibrations.org/,,Peer-reviewed records of vetted fossil calibrations tied to phylogenetic nodes and explicit age constraints.,primary or curated specialist database,"Fish comparative biology, classification and tree extraction.",Fishes.,"mixed or non-spatial, depending on source; spatial extent: global; geography: Global.",Global non-spatial.; Species and higher-taxon tree.,Extant fishes with fossil-calibrated dates in published analyses.; Tree release.,"Topology, taxonomy, alignments and divergence times depending on release.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.",Compiled from the origins described in the resource documentation and lineage note. Linked to FishBase and molecular archives.,Portal and publication supplements.; formats: Newick; Nexus; alignments.; interface: See the official resource documentation for current programmatic interfaces.,Open research use with citation.; registration: Not reported in the baseline catalogue.,Active specialist resource.,Large fish scope and specialist curation.,Coverage and dating vary; may not provide posterior distributions. Not reported.,"Fish comparative biology, classification and tree extraction.","Major taxon-specific phylogeny.; evidence: high for official fields, otherwise as stated in the verification note",Rabosky et al. and Fish Tree of Life resources.,retained and standardised; verified 2026-07-14.
Time-calibrated phylogenies,,GBOTB.extended,GBOTB.extended / V.PhyloMaker2,core,,https://github.com/jinyizju/V.PhyloMaker2,,Large vascular-plant megatree and software for attaching missing species using taxonomic rules.,primary or curated specialist database,Molecular-clock calibration and divergence-time estimation.,Selected fossils across major clades.,"mixed or non-spatial, depending on source; spatial extent: global; geography: Global, publication-driven.",Global.; Individual specimens and calibration nodes.,Across the history of life.; Individual calibration record.,"Fossil identity, phylogenetic justification, age bounds, locality and references.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.",Compiled from the origins described in the resource documentation and lineage note. Complements PBDB and molecular tree repositories; records are node calibrations rather than occurrence samples.,Web portal and linked calibration articles.; formats: Web records and supplements.; interface: See the official resource documentation for current programmatic interfaces.,Open access; cite each calibration article.; registration: Not reported in the baseline catalogue.,Maintenance status unclear.,High evidential standards and explicit justification.,Selective by design; portal maintenance and bulk access uncertain. Not reported.,Molecular-clock calibration and divergence-time estimation.,"Specialised but influential.; evidence: high for official fields, otherwise as stated in the verification note",Ksepka et al. The Fossil Calibration Database.,retained and standardised; verified 2026-07-14.
Time-calibrated phylogenies,,TimeTree,TimeTree,core,,https://timetree.org/,,Knowledge base synthesising published molecular divergence-time estimates into a time-scaled tree.,primary or curated specialist database,Plant community phylogenetics and phylogenetic diversity.,"Vascular plants, especially seed plants.","mixed or non-spatial, depending on source; spatial extent: global; geography: Global.",Global non-spatial.; Species-tip megatree.,Extant plants with dated deeper nodes.; Static backbone plus insertion scenarios.,Dated topology and taxonomic mapping.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.,Compiled from the origins described in the resource documentation and lineage note. Extends published plant backbones and GenBank-derived trees using taxonomy.,R package and tree download.; formats: Newick; R objects.; interface: See the official resource documentation for current programmatic interfaces.,Open-source with citation.; registration: Not reported in the baseline catalogue.,Actively maintained software.,Very broad coverage and reproducible scenarios.,Inserted taxa lack molecular placements and uncertainty is often understated. Not reported.,Plant community phylogenetics and phylogenetic diversity.,"Widely used plant tree product.; evidence: high for official fields, otherwise as stated in the verification note",Jin & Qian. V.PhyloMaker2.,retained and standardised; verified 2026-07-14.
Time-calibrated phylogenies,,VertLife,VertLife phylogeny portals,core,,https://vertlife.org/data/,,Posterior distributions of dated trees and subtree tools for major vertebrate clades.,primary or curated specialist database,Divergence-time lookup and dated broad comparative analyses.,Broad tree-of-life coverage.,"mixed or non-spatial, depending on source; spatial extent: global; geography: Global.",Global non-spatial.; Species pairs and clade nodes.,Evolutionary history of life.; Synthesised node-age estimate.,"Dated topology, divergence estimates and source studies.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.",Compiled from the origins described in the resource documentation and lineage note. Synthesises thousands of published timetrees rather than raw alignments.,"Web portal, API and downloads.; formats: Newick; tables; web outputs.; interface: See the official resource documentation for current programmatic interfaces.",Free academic use with citation.; registration: Not reported in the baseline catalogue.,Actively maintained.,Convenient dated framework and literature traceability.,Heterogeneous methods and incomplete taxa; not a posterior sample. Not reported.,Divergence-time lookup and dated broad comparative analyses.,"Very widely used dated-tree resource.; evidence: high for official fields, otherwise as stated in the verification note",Kumar et al. TimeTree 5.,retained and standardised; verified 2026-07-14.
Genetic sequences,,BOLD,Barcode of Life Data System,core,,https://www.boldsystems.org/,,"Platform integrating DNA barcode sequences, specimen images, taxonomy and collection locality data.",primary or curated specialist database,"Comparative biology, diversification, phylogenetic diversity and uncertainty propagation.","Birds, mammals, amphibians, squamates, sharks and selected vertebrates.","mixed or non-spatial, depending on source; spatial extent: global; geography: Global.",Global non-spatial.; Species-tip posterior trees.,Extant vertebrates with fossil-calibrated molecular dates.; Posterior-tree sample.,Dated trees and taxonomic mappings.; **records/taxa:** Not consistently reported in the baseline source; verify the current release before quoting a count.,"Compiled from the origins described in the resource documentation and lineage note. Built from molecular data, taxonomy and calibrations; BirdTree is a component product.",Web subsetters and downloads.; formats: Newick and metadata.; interface: See the official resource documentation for current programmatic interfaces.,Research use with citation; some portals require registration.; registration: Not reported in the baseline catalogue.,Active with clade-specific updates.,Posterior samples allow uncertainty propagation.,Pipelines and taxonomies differ across clades. Not reported.,"Comparative biology, diversification, phylogenetic diversity and uncertainty propagation.","Core vertebrate phylogeny family.; evidence: high for official fields, otherwise as stated in the verification note",Jetz and collaborators' clade-specific phylogenies.,retained and standardised; verified 2026-07-14.
